track_id,track_name,track_artist,playlist_genre,track_popularity,danceability,energy,valence,tempo,duration_ms,tempo_norm
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones and I,latin,100,0.824,0.588,0.513,98.027,209438,0.4094011025726696
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,edm,99,0.621,0.601,0.457,116.735,163636,0.487533411293017
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,latin,98,0.896,0.586,0.642,116.971,196653,0.4885190444370197
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,latin,98,0.513,0.796,0.345,171.017,201573,0.714237387236886
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,latin,98,0.764,0.32,0.575,91.019,189486,0.38013280988974274
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,latin,98,0.803,0.715,0.574,101.085,200960,0.422172569328433
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,pop,98,0.695,0.762,0.553,120.042,215280,0.5013448045439358
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,latin,97,0.794,0.793,0.677,123.941,183290,0.5176286334781156
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,pop,97,0.704,0.225,0.243,120.006,245426,0.5011944537253592
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,rap,97,0.784,0.43,0.236,127.087,159382,0.5307676244570665
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,latin,96,0.721,0.716,0.667,104.994,221714,0.43849816237888406
41L3O37CECZt3N7ziG2z7l,Yummy,Justin Bieber,latin,95,0.662,0.519,0.495,145.841,210427,0.609092048112262
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,pop,95,0.701,0.425,0.562,135.128,194088,0.5643501503508185
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,pop,94,0.724,0.491,0.383,105.046,170746,0.43871533578349486
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,edm,94,0.88,0.751,0.884,117.948,157606,0.4925993985967257
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,pop,94,0.501,0.405,0.446,109.891,182161,0.45895005011693957
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,rap,94,0.598,0.427,0.0605,76.469,175721,0.31936602071500164
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,pop,94,0.778,0.559,0.678,129.989,185093,0.5428875709989976
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,edm,93,0.676,0.609,0.508,142.037,237735,0.5932049782826596
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,latin,93,0.505,0.34,0.0916,101.993,206459,0.425964751085867
5DxXgozhkPLgrbKFY91w0c,Vete,Bad Bunny,latin,93,0.886,0.672,0.526,91.976,192024,0.3841296358169061
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,latin,93,0.786,0.808,0.609,105.027,301714,0.43863598396257936
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,latin,93,0.759,0.54,0.75,116.947,190960,0.4884188105579686
57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,edm,93,0.531,0.75,0.198,169.954,200080,0.7097978616772469
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,edm,93,0.769,0.787,0.836,126.77,159715,0.5294437019712662
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,edm,92,0.511,0.566,0.218,83.903,239836,0.35041346475108587
3VyjsVV24RmBIbWJAeUJNu,No Idea,Don Toliver,rap,92,0.656,0.614,0.35,128.038,153750,0.5347393919144672
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,edm,92,0.474,0.631,0.425,180.051,189323,0.7519670898763782
6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,latin,92,0.879,0.703,0.788,94.004,199711,0.3925993985967257
5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,latin,91,0.654,0.672,0.343,181.857,249520,0.759509689274975
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,pop,91,0.816,0.63,0.715,96.493,131607,0.40299448713665215
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,edm,91,0.857,0.621,0.668,97.986,204467,0.40922986969595726
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,r&b,91,0.881,0.457,0.296,136.97,198913,0.572043100567992
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,edm,91,0.598,0.526,0.529,123.935,168387,0.5176035750083529
51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,r&b,91,0.843,0.391,0.496,129.972,160627,0.5428165720013365
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,latin,91,0.654,0.63,0.43,89.991,167693,0.3758394587370531
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,latin,91,0.754,0.646,0.429,176.089,242573,0.7354201470096893
1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,latin,91,0.676,0.771,0.569,99.048,207133,0.4136652188439693
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,edm,91,0.477,0.682,0.345,110.567,202205,0.46177330437687936
1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,pop,90,0.745,0.642,0.226,179.974,131240,0.7516455061810892
6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,Daddy Yankee,pop,90,0.658,0.901,0.708,93.979,210520,0.39249498830604745
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,pop,90,0.548,0.816,0.557,95.39,174000,0.39838790511192784
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,latin,90,0.878,0.619,0.639,136.041,157067,0.5681632141663883
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,r&b,90,0.809,0.545,0.244,97.008,180435,0.4051453391246241
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,r&b,90,0.798,0.675,0.842,101.956,219947,0.42581022385566325
2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny,rap,90,0.61,0.624,0.244,176.169,250534,0.7357542599398598
3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Tainy,pop,90,0.734,0.836,0.623,80.002,270741,0.33412128299365185
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,r&b,90,0.736,0.369,0.235,140.005,222997,0.5847185098563314
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,pop,90,0.778,0.317,0.327,140.048,178627,0.584898095556298
7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,r&b,90,0.459,0.575,0.183,111.881,215107,0.4672611092549282
0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),Post Malone,latin,90,0.548,0.653,0.163,150.068,174853,0.6267457400601404
7sQKy5vlPQllr0k9IjYJv3,Sigues Con El,Dimelo Flow,r&b,90,0.883,0.668,0.676,87.972,226533,0.3674072836618777
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,r&b,90,0.335,0.625,0.346,150.277,241107,0.6276186100902105
2pWOMNQJW3g2zmGjP0Vkb0,Whine Up,Nicky Jam,latin,90,0.817,0.665,0.662,104.957,215460,0.43834363514868024
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),SHAED,pop,90,0.619,0.459,0.498,126.803,184280,0.5295815235549616
37zdqI4r1gswIzczSBkRon,Aventura,Lunay,latin,89,0.729,0.726,0.876,92.025,217130,0.3843342799866355
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,latin,89,0.668,0.892,0.478,95.927,159011,0.40063063815569666
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,pop,89,0.687,0.792,0.671,100.015,214290,0.41770380888740394
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,rap,89,0.559,0.491,0.114,153.131,244874,0.6395380888740394
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),Ed Sheeran,r&b,89,0.64,0.648,0.548,92.977,197867,0.3883102238556632
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,r&b,89,0.351,0.296,0.12,115.284,200186,0.4814734380220515
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,pop,89,0.732,0.463,0.397,95.971,212607,0.40081440026729037
2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,Ant Saunders,pop,89,0.865,0.438,0.695,129.038,223258,0.5389158035415971
2rc7BkzO8qepMFAxHtOrXc,Blanco,J Balvin,pop,88,0.87,0.706,0.593,100.013,145800,0.4176954560641497
